appid,genres,is_free,name,release_date,reviews,sentiment_score,short_description,type
1716740,RPG,False,Starfield,"Sep 5, 2023","unplayable on my PC even with all the settings at the lowest. My PC can run Fallout 4 but not this. This is such a disaster. Wish I didn't spend more than 2 hours trying to get it to work, then I could have gotten a refund. [h1]Skyrim vibes with added space travel![/h1]
This game is [u]a lot[/u] better than I would have given it credit for, and I'm honestly enjoying myself quite a bit. Now, don't get me wrong here: I'll be the first to state that this definitely isn't a perfect game or such. Heck, I've already experienced a few glitches myself.

Thing is... games don't have to be perfect in order to be perceived as such.

[b]Maybe too high expectations?[/b]

Each to their own (!) but I think that one of the issues with people not enjoying this game is setting your expectations too high. See, this [i]isn't[/i] ""Skyrim in space""; space travel is simply an added game mechanic which exists within the way you normally play most Bethesda games.

So... no, you can't use your spaceship to sour over the surface of a planet in order to map out the location of most structures. Nor can you decide where you're going to land your ship. All of that is a bit static. However... the game does compensate for all that, because once you discovered a location on a planet you can tell the game to go there after which you won't have to go through the whole routine of landing and walking again.

And honestly?  I like it this way. Despite the fact that I already discovered quite a few locations I still more than often just refuse to fast travel and instead get into my spaceship, close the door(s), take a seat in the cockpit and then I take off. Only to do the test of the navigation once I'm in orbit. I even perform a (semi-) manual jump into the next system.

No, I'm [i]not[/i] ""wasting my time"", I'm roleplaying. Ever heard of it?

[h2]This game is [u]massive[/u][/h2]
There are a lot of NPC's for you to meet and missions for you to complete, and I really love it. Sometimes small, sometimes silly and sometimes you also need to make a bit of your own fun. And what I love the most here is that not everything gets presented to you or is made obvious.

For example...  early on in the game you'll discover the city of New Atlantis and [u]a lot[/u] of of the game will be done here or from here. Plenty of missions for you to pick up. And it seems like the perfect playing map... huge city, citizens everywhere and plenty of NPC's to talk with. Dare I say that the layout even gives me ""Kotor"" and ""Mass Effect"" vibes?

So [i[then[/i] I wondered... ey... the game also talks about vegetation, fauna and minerals (""resources"").  Is there more to all this than the game is showing me?  So I decided to hop over a fence, slide my way down and... oh dear: all of a sudden I'm in a whole new (dangerous!) part of the world. And I'm [b]loving[/b] every moment of it. I even met other NPC's which got me laughing quite a bit: ""[spoiler]I'm sorry, can't you see I'm busy dying?  ugh... [/spoiler]"", and sure enough; that's exactly what happened (not by my doing btw!).

Experiences like these make me convinced that sometimes... it's also what you make of things. And this game puts plenty of attention into detail.

[b]Destructive tools are also weapons![/b]

I've seen this so many times: you have this powerful tool which is strong enough to tear through rocks, but as soon as you point it to some hostile creature then... ""of course"" it doesn't work, why would it? This isn't a weapon you silly player!

Starfield does that ""a little"" different and I was quite surprised when I discovered it. To me it simply adds up to the complexity and vastness of this game.

No, like I said before it isn't perfect...  but I'm sure am having a lot of fun so far!

[b]Get the editor too![/b]

Starfield, just like Skyrim before it, is a game that runs on its own so called ""game engine"". Studios often rely on such 'engines' to help them separate between the process of game design and actual game development. For example.... say I want to add a new datapack (""note"")... thanks to the engine I don't have to worry about adding the right textures or having to make my own opening effects: all of that is something the engine can handle for me. [i]So..[/i] I just tell it that I want to add a new datapack (""Book"" / ""DataSlate"") and the engine will handle all the details like the way it looks, how it'll sound when I pick it up, whether I can actually pick it up or not, etc. All I have to do is select what I want to use, add the text I want to add and eventually I also need to place this new item somewhere in the world.

No coding, no making new graphics, just design.  And that's what [url=https://store.steampowered.com/app/2722710/Starfield_Creation_Kit/]the Starfield creation kit[/url] can help you with. If you're going to play Starfield then I highly suggest that you also pick up the editor. Heck... if you're stuck in a mission... you [i]could[/i] consider to check it out in the editor to see what you might be missing. 

[h1]In conclusion...[/h1]
Look, if you were expecting a whole new game with lots of different new mechanics and such.. maybe even secretly hoping for an actual spacesim (?) then sorry to say but you may end up disappointed. But if you can enjoy the idea of being able to travel through space and visit all sorts of strange planets and explore weird locations, meet new NPC's and such then you might be in for a treat.

The world is pretty big, and there's [u]a lot[/u] of stuff to discover & do, plenty to keep you busy for dozens of hours to come. The voice acting is very well done I think and although some characters look a bit weird... look, didn't we say the exact same thing for those in Tamriel?  Here I was thinking that elves would be the most beautiful beings in the world, not some bizarre looking hags.

Yes, there are loading screens and yes: your spaceship only gets used when you're actually out in space (so: in orbit), as soon as you're on a planet it basically becomes your (static) base of operations. Extra storage space to take with you wherever you go! ;)

But the vibes of old are all here...  exploring a planet, using your scanner and seeing ""unknown"" somewhere in the distance?  Let's go check it out!  Oh wait, there's another one!  Being able to find new loot, upgrade and customize your stuff, meet up with new friends (and enemies) ...

Each to their own, but I'm having a great time with this game, and can definitely recommend it because of that.
 What a waste.",1.0,"Starfield is the first new universe in 25 years from Bethesda Game Studios, the award-winning creators of The Elder Scrolls V: Skyrim and Fallout 4.",game
453480,"Strategy, Free To Play",True,Shadowverse CCG,"27 Oct, 2016","Extremely addictive card game! The production values are pretty high. Netcode is quality. Art is fantastic.

Before every battle in ranked mode I get all nervous. The battles are always intense, and after every battle I feel I just gotta have one more match. A never ending cycle.

I prefer to play it on my mobile devices rather than the Steam version thou, as I can play while laying in bed all lazy. Really fun and visially nice, story card game. Can play it on multiple devices too. My Katana vibrates to this.( ͡° ͜ʖ ͡° )",1.0,Four million battles every day. One Shadowverse. Japan's #1 strategic card game. Made by card gamers for card gamers. ,game
489830,RPG,False,The Elder Scrolls V: Skyrim Special Edition,"Oct 27, 2016",a Is Skyrim - is good. Very fun game offers a lot of different playstyles and hours of exploration. Highly recommend this game.,1.0,"Winner of more than 200 Game of the Year Awards, The Elder Scrolls V: Skyrim Special Edition brings the epic fantasy to life in stunning detail. The Special Edition includes the critically acclaimed game and add-ons with all-new features.",game
1238840,"Action, Massively Multiplayer",False,Battlefield™ 1,"Jun 11, 2020","Good game

Update broke performance absolute shitshow for beginners, you WILL be in hell for the however long this filth sits on your hard drive history ingga.",1.0,"Battlefield™ 1 takes you back to The Great War, WW1, where new technology and worldwide conflict changed the face of warfare forever.",game
424370,"Action, Adventure, Indie, RPG",False,Wolcen: Lords of Mayhem,"13 Feb, 2020","Bought it for ca. 5€. I have fun with the compain and the leveling part so far. Propably won't stay for the endgame. There are still some anoing bugs, but none of the game-breaking type. Decent ARPG actually mechanics wise when on sale (besides generic story), but so easy that it seems like a bug to me. No challenge at all. Maybe it gets harder at later stages of the game but then the game is almost finished so what is the point? ¯\_(ツ)_/¯ Disabled multiplayer? Removing this rubbish from my library.",1.0,"Carve your path in this Hack’n’Slash free from class boundaries. Purify a world shattered by corruption, and uncover the grim secrets and forgotten horrors lurking in the shadows of this forsaken land as you rise in Power. Your Inner aspect beckons—will you answer?",game
252490,"Action, Adventure, Indie, Massively Multiplayer, RPG",False,Rust,"8 Feb, 2018","i love
 Best game ngl i got molested by a naked russian guy with a rock",1.0,"The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife, other inhabitants, the environment, and other survivors. Do whatever it takes to last another night.",game
356190,"Action, Adventure, RPG",False,Middle-earth™: Shadow of War™,"9 Oct, 2017","77 hours of playtime on the first playthrough.
Great sequel to the first game with enhanced Nemesis system. a load of shite A lot of play similar to Shadow of Mordor.  Orc Captains have impoved AI.  A new look at old monsters.  Graphics also improved.  Minas Ilthil is well-drawn, with architecture reminiscent of the movie's Minas Tirith but not a slavish copy..",1.0,"Experience an epic open-world brought to life by the award-winning Nemesis System. Forge a new Ring of Power, conquer Fortresses in massive battles and dominate Mordor with your personal orc army in Middle-earth™: Shadow of War™.",game
1313860,"Simulation, Sports",False,EA SPORTS™ FIFA 21,"8 Oct, 2020","GOOD EA: wanna buy older fifa with lower price? Fuc. you, cant buy older games. EA wants only your wallet. Fuc. EA !!! Mid.",1.0,"Football is back with EA SPORTS™ FIFA 21, featuring more ways to team up on the street or in the stadium to enjoy even bigger victories with friends.",game
1818750,"Action, Free To Play",False,MultiVersus,"19 Jul, 2022",One day this will be used as the exemplar of intellectual property mismanagement in a study of bag fumbling. I was really hyped for this game when it dropped even spent 40$ on the beta. hate to see what's happened. cant wait to play as beetlejuice and spike!,-1.0,MultiVersus is a free-to-play platform fighter that brings the depth of iconic WB stars to life across the nearly endless possibilities of play.,game
466240,"Action, Indie, Free To Play",False,Deceit,"3 Mar, 2017",lala Haven't played in years but still leagues better than whatever the sequel is doing. :),-1.0,"Test your instincts at trust and deception in an action-filled, multiplayer first-person shooter. You wake up in unknown surroundings to the sound of the Game Master’s unfamiliar voice, surrounded by five others. A third of your group have been infected with a virus, but who will escape?",game
